,index,code_commune,commune,dep
681,17208,02299,Évergnicourt,02
682,17230,02302,Faverolles,02
683,17248,02303,Fayet,02
684,17275,02304,La Fère,02
685,17327,02305,Fère-en-Tardenois,02
686,17360,02306,La Ferté-Chevresis,02
687,17376,02307,La Ferté-Milon,02
688,17418,02308,Fesmy-le-Sart,02
689,17432,02309,Festieux,02
690,17458,02310,Fieulaine,02
691,17473,02311,Filain,02
692,17481,02312,La Flamengrie,02
693,17508,02313,Flavigny-le-Grand-et-Beaurain,02
694,17521,02315,Flavy-le-Martel,02
695,17555,02316,Fleury,02
696,17565,02317,Fluquières,02
697,17578,02318,Folembray,02
698,17606,02319,Fonsomme,02
699,17625,02320,Fontaine-lès-Clercs,02
700,17642,02321,Fontaine-lès-Vervins,02
701,17661,02322,Fontaine-Notre-Dame,02
702,17683,02323,Fontaine-Uterte,02
703,17694,02324,Fontenelle,02
704,17705,02326,Fontenoy,02
705,17726,02327,Foreste,02
706,17734,02328,Fossoy,02
707,17763,02329,Fourdrain,02
708,17784,02330,Francilly-Selency,02
709,17806,02331,Franqueville,02
710,17812,02332,Fresnes-en-Tardenois,02
711,17824,02333,Fresnes-sous-Coucy,02
712,17834,02334,Fresnoy-le-Grand,02
713,17863,02335,Fressancourt,02
714,17871,02336,Frières-Faillouël,02
715,17907,02337,Froidestrées,02
716,17917,02338,Froidmont-Cohartille,02
717,17930,02339,Gandelu,02
718,17952,02340,Gauchy,02
719,17996,02341,Gercy,02
720,18011,02342,Gergny,02
721,18017,02343,Germaine,02
722,18024,02345,Gibercourt,02
723,18028,02346,Gizy,02
724,18045,02347,Gland,02
725,18070,02349,Goudelancourt-lès-Berrieux,02
726,18078,02350,Goudelancourt-lès-Pierrepont,02
727,18086,02351,Goussancourt,02
728,18092,02352,Gouy,02
729,18107,02353,Grandlup-et-Fay,02
730,18123,02354,Grandrieux,02
731,18125,02355,Gricourt,02
732,18154,02356,Grisolles,02
733,18164,02357,Gronard,02
734,18169,02358,Grougis,02
735,18185,02359,Grugies,02
736,18217,02360,Villeneuve-sur-Aisne,02
737,18260,02361,Guise,02
738,18290,02362,Guivry,02
739,18305,02363,Guny,02
740,18318,02364,Guyencourt,02
741,18328,02366,Hannapes,02
742,18335,02367,Happencourt,02
743,18345,02368,Haramont,02
744,18369,02369,Harcigny,02
745,18377,02370,Hargicourt,02
746,18399,02371,Harly,02
747,18438,02372,Hartennes-et-Taux,02
748,18459,02373,Hary,02
749,18469,02374,Lehaucourt,02
750,18494,02375,Hautevesnes,02
751,18504,02376,Hauteville,02
752,18518,02377,Haution,02
753,18526,02378,La Hérie,02
754,18532,02379,Le Hérie-la-Viéville,02
755,18540,02380,Hinacourt,02
756,18541,02381,Hirson,02
757,18620,02382,Holnon,02
758,18659,02383,Homblières,02
759,18696,02384,Houry,02
760,18699,02385,Housset,02
761,18705,02386,Iron,02
762,18714,02387,Itancourt,02
763,18744,02388,Iviers,02
764,18754,02389,Jaulgonne,02
765,18779,02390,Jeancourt,02
766,18791,02391,Jeantes,02
767,18803,02392,Joncourt,02
